IDENTIFICADOR;VALOR1;VALOR2;VALOR3;VALOR4;VALOR5
8354811;DICIEMBRE.wav;TELEFONIA.wav;76365;NOVIEMBRE.wav;
890941358;DICIEMBRE.wav;INTERNET.wav;20424;NOVIEMBRE.wav;
890920848;DICIEMBRE.wav;CONMUTADOR VIRTUAL.wav;34106;NOVIEMBRE.wav;
890923972;DICIEMBRE.wav;DUO_TO_TV.wav;28666;NOVIEMBRE.wav;
890924690;DICIEMBRE.wav;TRONCAL SIP.wav;32542;NOVIEMBRE.wav;
890926412;DICIEMBRE.wav;TRONCAL SIP.wav;22867;NOVIEMBRE.wav;
890933898;DICIEMBRE.wav;SERVICIOS CLOUD.wav;11124;NOVIEMBRE.wav;
890980074;DICIEMBRE.wav;TELEVISION.wav;7679;NOVIEMBRE.wav;
890980757;DICIEMBRE.wav;VOZ PLUS.wav;130;NOVIEMBRE.wav;
890980767;DICIEMBRE.wav;INTERNET.wav;610470;NOVIEMBRE.wav;
890912140;DICIEMBRE.wav;INTERNET.wav;32272;NOVIEMBRE.wav;
900185745;DICIEMBRE.wav;INTERNET.wav;11900;NOVIEMBRE.wav;
900195679;DICIEMBRE.wav;CONECTIVIDAD.wav;400316;NOVIEMBRE.wav;
900196465;DICIEMBRE.wav;TRIO.wav;19591;NOVIEMBRE.wav;
900211248;DICIEMBRE.wav;OFFICE 365.wav;23279;NOVIEMBRE.wav;
900216494;DICIEMBRE.wav;INTERNET.wav;28879;NOVIEMBRE.wav;
900227879;DICIEMBRE.wav;INTERNET.wav;88184;NOVIEMBRE.wav;
900230084;DICIEMBRE.wav;TRONCAL SIP.wav;12459;NOVIEMBRE.wav;
890916585;DICIEMBRE.wav;TRIO.wav;13345;NOVIEMBRE.wav;
890917265;DICIEMBRE.wav;VOZ PLUS.wav;96;NOVIEMBRE.wav;
900146111;DICIEMBRE.wav;INTERNET.wav;11342;NOVIEMBRE.wav;
900039118;DICIEMBRE.wav;SERV PRO Y SERV ADMIN.wav;3824;NOVIEMBRE.wav;
900064236;DICIEMBRE.wav;TRONCAL SIP.wav;171603;NOVIEMBRE.wav;
900069367;DICIEMBRE.wav;INTERNET.wav;28879;NOVIEMBRE.wav;
900083323;DICIEMBRE.wav;TELEFONIA.wav;12201;NOVIEMBRE.wav;
900090098;DICIEMBRE.wav;INTERNET.wav;112952;NOVIEMBRE.wav;
900122146;DICIEMBRE.wav;NUMERO UNICO.wav;25900;NOVIEMBRE.wav;
900126847;DICIEMBRE.wav;TELEFONIA.wav;7276;NOVIEMBRE.wav;
900159278;DICIEMBRE.wav;INTERNET.wav;47130;NOVIEMBRE.wav;
900159889;DICIEMBRE.wav;TELEFONIA PBX.wav;44214;NOVIEMBRE.wav;
900475484;DICIEMBRE.wav;TELEVISION.wav;120313;NOVIEMBRE.wav;
900575452;DICIEMBRE.wav;OFFICE 365.wav;1512;NOVIEMBRE.wav;
900509929;DICIEMBRE.wav;INTERNET.wav;91603;NOVIEMBRE.wav;
900520548;DICIEMBRE.wav;VOZ PLUS.wav;6311;NOVIEMBRE.wav;
900520593;DICIEMBRE.wav;VOZ PLUS.wav;81977;NOVIEMBRE.wav;
900531498;DICIEMBRE.wav;INTERNET.wav;90148;NOVIEMBRE.wav;
900549627;DICIEMBRE.wav;INTERNET.wav;11900;NOVIEMBRE.wav;
900557277;DICIEMBRE.wav;TRONCAL SIP.wav;29071;NOVIEMBRE.wav;
900578839;DICIEMBRE.wav;TELEFONIA.wav;18055;NOVIEMBRE.wav;
900588712;DICIEMBRE.wav;TELEFONIA.wav;5740;NOVIEMBRE.wav;
900441882;DICIEMBRE.wav;SERVICIOS CLOUD.wav;22248;NOVIEMBRE.wav;
900792938;DICIEMBRE.wav;DUO_TV_BA.wav;9500;NOVIEMBRE.wav;
900799021;DICIEMBRE.wav;INTERNET.wav;16935;NOVIEMBRE.wav;
900801644;DICIEMBRE.wav;INTERNET.wav;11342;NOVIEMBRE.wav;
900814727;DICIEMBRE.wav;TELEFONIA.wav;6201;NOVIEMBRE.wav;
900825268;DICIEMBRE.wav;VOZ PLUS.wav;13464;NOVIEMBRE.wav;
900886125;DICIEMBRE.wav;TRONCAL SIP.wav;11425;NOVIEMBRE.wav;
900899393;DICIEMBRE.wav;TELEFONIA.wav;15715;NOVIEMBRE.wav;
900469077;DICIEMBRE.wav;TELEFONIA.wav;56427;NOVIEMBRE.wav;
900663790;DICIEMBRE.wav;INTERNET.wav;132824;NOVIEMBRE.wav;
900750155;DICIEMBRE.wav;INTERNET.wav;32742;NOVIEMBRE.wav;
900670284;DICIEMBRE.wav;VOZ PLUS.wav;4021;NOVIEMBRE.wav;
900681994;DICIEMBRE.wav;SERVICIOS CLOUD.wav;7416;NOVIEMBRE.wav;
900688394;DICIEMBRE.wav;INTERNET.wav;97079;NOVIEMBRE.wav;
900700276;DICIEMBRE.wav;TELEFONIA.wav;7521;NOVIEMBRE.wav;
900729867;DICIEMBRE.wav;TELEFONIA.wav;32081;NOVIEMBRE.wav;
900735988;DICIEMBRE.wav;INTERNET.wav;60974;NOVIEMBRE.wav;
900772057;DICIEMBRE.wav;INTERNET DEDICADO 1-1.wav;180880;NOVIEMBRE.wav;
900778835;DICIEMBRE.wav;TELEFONIA.wav;6117;NOVIEMBRE.wav;
901311646;DICIEMBRE.wav;DUO_TO_BA.wav;29210;NOVIEMBRE.wav;
